,gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,class
59499,ENSG00000287089.1,AL138889.3,lncRNA,9,8,2,0.216,0.0825,0.0905,1
59500,ENSG00000287090.1,AC116345.4,lncRNA,0,0,0,0.0,0.0,0.0,1
59501,ENSG00000287091.1,AC009961.3,lncRNA,7,2,5,0.4997,0.1908,0.2092,1
59502,ENSG00000287092.1,AL589693.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59503,ENSG00000287093.1,AC003093.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59504,ENSG00000287094.1,AL049552.2,lncRNA,1,1,1,0.0754,0.0288,0.0316,1
59505,ENSG00000287095.1,AF228727.1,lncRNA,0,10,5,0.0,0.0,0.0,1
59506,ENSG00000287096.1,AC005165.3,lncRNA,1,0,1,0.0397,0.0151,0.0166,1
59507,ENSG00000287097.1,AL590550.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59508,ENSG00000287098.1,AC092473.2,lncRNA,1,0,1,0.0926,0.0353,0.0388,1
59509,ENSG00000287099.1,AL121750.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59510,ENSG00000287100.1,AL078600.1,lncRNA,3,0,3,0.1059,0.0404,0.0443,1
59511,ENSG00000287101.1,AC093772.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59512,ENSG00000287102.1,AL356361.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59513,ENSG00000287103.1,AL512638.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59514,ENSG00000287104.1,AC097382.3,lncRNA,111,63,48,5.3914,2.0585,2.2573,1
59515,ENSG00000287105.1,AC090577.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59516,ENSG00000287106.1,AC106743.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59517,ENSG00000287107.1,AL136102.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59518,ENSG00000287108.1,AC023302.2,lncRNA,2,1,1,0.0459,0.0175,0.0192,1
59519,ENSG00000287109.1,AP000224.1,lncRNA,3,2,1,0.0451,0.0172,0.0189,1
59520,ENSG00000287110.1,AC112484.5,lncRNA,16,6,10,0.3175,0.1212,0.1329,1
59521,ENSG00000287111.1,AL117187.2,unprocessed_pseudogene,0,0,0,0.0,0.0,0.0,1
59522,ENSG00000287112.1,AC068787.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59523,ENSG00000287113.1,AL139289.2,lncRNA,0,2,0,0.0,0.0,0.0,1
59524,ENSG00000287114.1,AC104024.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59525,ENSG00000287115.1,AC009951.6,lncRNA,6,2,4,0.5974,0.2281,0.2501,1
59526,ENSG00000287116.1,AC104335.2,lncRNA,1,1,0,0.0893,0.0341,0.0374,1
59527,ENSG00000287117.1,AC105916.1,lncRNA,8,5,3,0.2888,0.1103,0.1209,1
59528,ENSG00000287118.1,AC008056.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59529,ENSG00000287119.1,AC092580.4,lncRNA,4,1,3,0.0677,0.0258,0.0283,1
59530,ENSG00000287120.1,AL138773.1,lncRNA,1,1,0,0.0168,0.0064,0.007,1
59531,ENSG00000287121.1,AC007220.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59532,ENSG00000287122.1,AC026495.2,lncRNA,1,1,0,0.0392,0.015,0.0164,1
59533,ENSG00000287123.1,AC007880.1,lncRNA,1,2,0,0.0309,0.0118,0.0129,1
59534,ENSG00000287124.1,AL512603.2,lncRNA,2,2,0,0.2092,0.0799,0.0876,1
59535,ENSG00000287125.1,AC018695.9,lncRNA,14,88,55,0.3787,0.1446,0.1585,1
59536,ENSG00000287126.1,AC108488.3,lncRNA,56,16,40,0.8167,0.3118,0.3419,1
59537,ENSG00000287127.1,AC009879.4,lncRNA,2,0,2,0.1092,0.0417,0.0457,1
59538,ENSG00000287128.1,AL445238.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59539,ENSG00000287129.1,AC097500.1,lncRNA,2,2,0,0.1533,0.0585,0.0642,1
59540,ENSG00000287130.1,AC068616.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59541,ENSG00000287131.1,AC096970.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59542,ENSG00000287132.1,AC092881.2,lncRNA,0,9,7,0.0,0.0,0.0,1
59543,ENSG00000287133.1,AC007279.1,lncRNA,1,20,14,0.0231,0.0088,0.0097,1
59544,ENSG00000287134.1,AC106845.1,lncRNA,14,6,8,0.1361,0.052,0.057,1
59545,ENSG00000287135.1,AC010884.1,lncRNA,0,2,1,0.0,0.0,0.0,1
59546,ENSG00000287136.1,AC073578.5,lncRNA,0,0,0,0.0,0.0,0.0,1
59547,ENSG00000287137.1,AL391538.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59548,ENSG00000287138.1,AL022726.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59549,ENSG00000287139.1,AL513317.1,lncRNA,8,2,6,0.2384,0.091,0.0998,1
59550,ENSG00000287140.1,AC066595.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59551,ENSG00000287141.1,AC093675.2,lncRNA,1,0,1,0.0331,0.0126,0.0138,1
59552,ENSG00000287142.1,AL355053.1,lncRNA,1,0,1,0.0484,0.0185,0.0203,1
59553,ENSG00000287143.1,AC117480.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59554,ENSG00000287144.1,AC097511.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59555,ENSG00000287145.1,AC009413.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59556,ENSG00000287146.1,AC000085.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59557,ENSG00000287147.1,AC023468.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59558,ENSG00000287148.1,LINCADL,lncRNA,49,24,25,5.0752,1.9378,2.1249,1
59559,ENSG00000287149.1,AC092640.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59560,ENSG00000287150.1,AL139340.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59561,ENSG00000287151.1,C2orf27A,lncRNA,256,132,136,1.9484,0.7439,0.8158,1
59562,ENSG00000287152.1,AC099685.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59563,ENSG00000287153.1,AL161851.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59564,ENSG00000287154.1,AC005599.1,lncRNA,1,0,1,0.0922,0.0352,0.0386,1
59565,ENSG00000287155.1,AC022215.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59566,ENSG00000287156.1,AL138479.2,lncRNA,5,3,2,0.1328,0.0507,0.0556,1
59567,ENSG00000287157.1,AL034351.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59568,ENSG00000287158.1,AC117464.1,lncRNA,2,2,0,0.0285,0.0109,0.0119,1
